rank,algoId,family,promotionVerdict,robustScore,adjustedConfidence,psr,dsrApprox,pboApprox,familyAdjustedPValue,globalAdjustedPValue,falseDiscoveryRisk,holdoutPass,cpcvPositiveFoldRate,avgSlippageCents,telemetryPresent,hasApproxSuffixes
1,final60-aggressive,paper-variant,reject,-96.1407,0,0.5,0.0023,1,1,1,1,false,0,1,true,true
2,sweep-liquidity-s400-d1-i1000-e0-loose,sweep-liquidity-imbalance,reject,-100.8645,0,0.4178,0.0012,1,1,1,1,false,0,1,true,true
3,sweep-liquidity-s400-d1-i1000-e0-none,sweep-liquidity-imbalance,reject,-101.2543,0,0.2725,0.0003,1,1,1,1,false,0,1,true,true
4,final60-lock-v1,paper,reject,-101.3239,0,0,0,1,1,1,1,false,0,0,true,true
5,sweep-liquidity-s400-d2-i1000-e-200-none,sweep-liquidity-imbalance,reject,-101.5332,0,0.5677,0.0039,1,1,1,1,false,0,1,true,true
6,sweep-liquidity-s400-d2-i1000-e-200-loose,sweep-liquidity-imbalance,reject,-103.0695,0,0.4587,0.0017,1,1,1,1,false,0,1,true,true
7,sweep-liquidity-s400-d1-i1000-e-200-loose,sweep-liquidity-imbalance,reject,-103.384,0,0.5087,0.0025,1,1,1,1,false,0,1,true,true
8,sweep-liquidity-s400-d1-i1000-e200-loose,sweep-liquidity-imbalance,reject,-103.4379,0,0.7275,0.013,1,1,1,1,false,0,1,true,true
9,sweep-liquidity-s400-d5-i1000-e200-loose,sweep-liquidity-imbalance,reject,-103.4936,0,0.1601,0.0001,1,1,1,1,false,0,1,true,true
10,sweep-liquidity-s400-d5-i2500-e0-none,sweep-liquidity-imbalance,reject,-103.6299,0,0.5982,0.0049,1,1,1,1,false,0,1,true,true
11,sweep-liquidity-s400-d5-i2500-e200-loose,sweep-liquidity-imbalance,reject,-103.6825,0,0.8183,0.0273,1,1,1,1,false,0,1,true,true
12,sweep-liquidity-s400-d2-i2500-e-200-none,sweep-liquidity-imbalance,reject,-103.7833,0,0.6582,0.0077,1,1,1,1,false,0,1,true,true
13,sweep-liquidity-s400-d5-i1000-e0-loose,sweep-liquidity-imbalance,reject,-104.2726,0,0.4964,0.0023,1,1,1,1,false,0,1,true,true
14,sweep-liquidity-s400-d1-i2500-e-200-loose,sweep-liquidity-imbalance,reject,-104.3106,0,0.4136,0.0011,1,1,1,1,false,0,1,true,true
15,sweep-liquidity-s400-d1-i5000-e200-loose,sweep-liquidity-imbalance,reject,-104.3501,0,0.6969,0.0103,1,1,1,1,false,0,1,true,true
16,sweep-liquidity-s400-d5-i1000-e-200-none,sweep-liquidity-imbalance,reject,-104.7513,0,0.2378,0.0002,1,1,1,1,false,0,1,true,true
17,sweep-liquidity-s400-d5-i2500-e200-none,sweep-liquidity-imbalance,reject,-104.9631,0,0.4844,0.002,1,1,1,1,false,0,1,true,true
18,sweep-liquidity-s400-d1-i2500-e0-loose,sweep-liquidity-imbalance,reject,-105.0023,0,0.7709,0.0183,1,1,1,1,false,0,1,true,true
19,sweep-liquidity-s400-d2-i5000-e-200-none,sweep-liquidity-imbalance,reject,-105.2659,0,0.1798,0.0001,1,1,1,1,false,0,1,true,true
20,sweep-liquidity-s400-d2-i2500-e200-none,sweep-liquidity-imbalance,reject,-105.4757,0,0.3888,0.0009,1,1,1,1,false,0,1,true,true
21,sweep-liquidity-s400-d5-i2500-e0-loose,sweep-liquidity-imbalance,reject,-105.5339,0,0.8197,0.0276,1,1,1,1,false,0,1,true,true
22,sweep-liquidity-s400-d2-i1000-e200-none,sweep-liquidity-imbalance,reject,-105.6532,0,0.3247,0.0005,1,1,1,1,false,0,1,true,true
23,final60-strict,paper-variant,reject,-105.682,0,0.5,0.0023,1,1,1,1,false,0,0,true,true
24,yes-probation-strict,paper-variant,reject,-105.682,0,0.5,0.0023,1,1,1,1,false,0,0,true,true
25,sweep-liquidity-s400-d2-i2500-e200-loose,sweep-liquidity-imbalance,reject,-105.821,0,0.4554,0.0016,1,1,1,1,false,0,1,true,true
26,sweep-liquidity-s400-d1-i5000-e0-none,sweep-liquidity-imbalance,reject,-105.9417,0,0.2429,0.0002,1,1,1,1,false,0,1,true,true
27,sweep-liquidity-s400-d2-i1000-e0-none,sweep-liquidity-imbalance,reject,-106.0695,0,0.7028,0.0108,1,1,1,1,false,0,1,true,true
28,sweep-liquidity-s400-d1-i5000-e-200-none,sweep-liquidity-imbalance,reject,-106.1216,0,0.5982,0.0049,1,1,1,1,false,0,1,true,true
29,sweep-liquidity-s400-d2-i2500-e-200-loose,sweep-liquidity-imbalance,reject,-106.2381,0,0.5812,0.0043,1,1,1,1,false,0,1,true,true
30,spread-scalp-2c,paper,reject,-106.2936,0,0.7548,0.0161,1,1,1,1,false,0,0,true,true
31,sweep-model-t30-e0-c35-s200-strict,sweep-model,reject,-106.544,0,0.5,0.0023,1,1,1,1,false,0,0,true,true
32,sweep-model-t30-e0-c35-s200-loose,sweep-model,reject,-106.544,0,0.5,0.0023,1,1,1,1,false,0,0,true,true
33,sweep-model-t30-e0-c35-s400-strict,sweep-model,reject,-106.544,0,0.5,0.0023,1,1,1,1,false,0,0,true,true
34,sweep-model-t30-e0-c35-s400-loose,sweep-model,reject,-106.544,0,0.5,0.0023,1,1,1,1,false,0,0,true,true
35,sweep-model-t30-e0-c35-s600-strict,sweep-model,reject,-106.544,0,0.5,0.0023,1,1,1,1,false,0,0,true,true
36,sweep-model-t30-e0-c35-s600-loose,sweep-model,reject,-106.544,0,0.5,0.0023,1,1,1,1,false,0,0,true,true
37,sweep-model-t30-e0-c35-s1000-strict,sweep-model,reject,-106.544,0,0.5,0.0023,1,1,1,1,false,0,0,true,true
38,sweep-model-t30-e0-c35-s1000-loose,sweep-model,reject,-106.544,0,0.5,0.0023,1,1,1,1,false,0,0,true,true
39,sweep-model-t30-e0-c50-s200-strict,sweep-model,reject,-106.544,0,0.5,0.0023,1,1,1,1,false,0,0,true,true
40,sweep-model-t30-e0-c50-s200-loose,sweep-model,reject,-106.544,0,0.5,0.0023,1,1,1,1,false,0,0,true,true
41,sweep-model-t30-e0-c50-s400-strict,sweep-model,reject,-106.544,0,0.5,0.0023,1,1,1,1,false,0,0,true,true
42,sweep-model-t30-e0-c50-s400-loose,sweep-model,reject,-106.544,0,0.5,0.0023,1,1,1,1,false,0,0,true,true
43,sweep-model-t30-e0-c50-s600-strict,sweep-model,reject,-106.544,0,0.5,0.0023,1,1,1,1,false,0,0,true,true
44,sweep-model-t30-e0-c50-s600-loose,sweep-model,reject,-106.544,0,0.5,0.0023,1,1,1,1,false,0,0,true,true
45,sweep-model-t30-e0-c50-s1000-strict,sweep-model,reject,-106.544,0,0.5,0.0023,1,1,1,1,false,0,0,true,true
46,sweep-model-t30-e0-c50-s1000-loose,sweep-model,reject,-106.544,0,0.5,0.0023,1,1,1,1,false,0,0,true,true
47,sweep-model-t30-e0-c65-s200-strict,sweep-model,reject,-106.544,0,0.5,0.0023,1,1,1,1,false,0,0,true,true
48,sweep-model-t30-e0-c65-s200-loose,sweep-model,reject,-106.544,0,0.5,0.0023,1,1,1,1,false,0,0,true,true
49,sweep-model-t30-e0-c65-s400-strict,sweep-model,reject,-106.544,0,0.5,0.0023,1,1,1,1,false,0,0,true,true
50,sweep-model-t30-e0-c65-s400-loose,sweep-model,reject,-106.544,0,0.5,0.0023,1,1,1,1,false,0,0,true,true